Run,,190,ROW,29,A,9,Adam Browne,,,,,,,,,,,,,,
#,Wt,,COL,16,B,10,,,,,,,,,,,,,,,
2,50,1,,,C,1,,,,,,,,,,,,,,,
8,25,1,DL-1,16,D,2,,,,,,,,,,,,,,,
2,20,0,flt end,27,E,3,Division,,,,M1 FP B R,,,,90,,,Cls (kg),,,
2,15,0,display,,F,4,,,,,,,,,,,,,,,
4,10,0,row,14,G,5,,,,,,,,,,,,,,,
2,5,1,col,16,H,6,,,,,,,,,,,,,,,
2,2.5,1,,,I,7,190,,,kg,418.9, new total =,,,,500,,,kg,,
2,1.25,0,,,J,8,,,,,,,,,,,,,,,
25,Bar,190,,,,,,,,,lb,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
C,Lot#,Name,Division,BWT,Cls (kg),Sq Rack,SQ-1,SQ-2,SQ-3,BP Rack,BP-1,BP-2,BP-3,SUB,DL-1,DL-2,DL-3,Total,,,
B,1,Adam Browne,M1 FP B R,86.8,90,11 o ,155,162.5,-165,4,135,142.5,147.5,310,190,202.5,205,515,,,
C,9,Patricia Wetton,M3 R,,82.5,,,,,,,,,,100,,,,,,
C,3,Elizabeth Collins,M2 R,55,56,,,,,,,,,,105,,,,,,
C,2,Monique Amy Newton,J R,56,52,,,,,,,,,,115,,,,,,
C,4,Michael Phipps,O R,63.5,67.5,,,,,,,,,,160,,,,,,
C,14,Daniella Scozzi,M2,71.9,75,,,,,,,,,,160,,,,,,
C,13,Steve Plunkett,M1E,86.45,90,,,,,,,,,,200,,,,,,
C,5,Dale Humphreys,J R,65.65,67.5,,,,,,,,,,215,,,,,,
C,12,John Antrobus,O SPE,87.4,90,,,,,,,,,,220,,,,,,
C,1,Emmy Louise,O R,,48,,,,,,,,,,,,,,,,
C,6,Mitchell Horocks,J R,,75,,,,,,,,,,,,,,,,
C,7,Anthony Zawalij,O R,,75,,,,,,,,,,,,,,,,
C,8,,T2 R,,82.5,,,,,,,,,,,,,,,,
C,10,Tom Sparks,O R,,90,,,,,,,,,,,,,,,,
C,11,Jack Chambers,J Eq,,90,,,,,,,,,,,,,,,,
A,12,Patricia Wetton,M3 FP R,,82.5,8 o,-70,70,87.5,4,55,60,62.5,150,100,-120,120,270,,,
A,2,Mark Towers,T2 FP R,83.5,90,11 i ,95,105,120,4,75,-90,-90,195,160,175,-182.5,370,,,
A,3,Ali Ashraf,T1,80.2,82.5,9 o,140,155,162.5,4,75,87.5,95,257.5,160,180,-200,437.5,,,
A,1,Daniel Slater,T2 FP R,80.7,82.5,10 o ,115,125,132.5,4,72.5,77.5,-80,210,182.5,203,-210,413,,,
A,4,Edward Cole,T3 FP R,80.5,82.5,11 o,-165,-170,170,4,-110,-115,115,285,185,210,-220,495,,,
A,11,Martin Hewlett ,M3 FP R,89.9,90,10 o ,150,-160,160,4,115,122.5,130,290,190,202.5,-210,492.5,,,
A,10,Daniel Shearly,O FP B R,82.2,82.5,11 o,170,-190,190,5,140,150,-155,340,205,225,235,575,,,
A,5,Rob Bragg        K/W,J FP R,82.5,82.5,10 o ,220,240,260,4,120,130,140,400,220,240,260,660,,,
