Name,Sex,Age,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Tim Elwood,M,,OR,Raw,48.1,52,,,,,60,65,70,70,,,,,70,B,1
Abdul Ahmady,M,,OR,Raw,66,67.5,,,,,115,120,125,125,,,,,125,B,1
Miles Hutchinson,M,,JR,Raw,98.3,100,,,,,150,160,-165,160,,,,,160,B,1
Miles Hutchinson,M,,JR,Raw,98.3,100,,,,,,,,,-280,280,-300,280,280,D,1
Randall Crooks,M,,MR,Raw,92.5,100,,,,,160,170,-180,170,,,,,170,B,1
Steve Middleton,M,,MR,Raw,99.5,100,230,250,-267.5,250,160,177.5,-180,177.5,270,-301,,270,697.5,SBD,1
Dave Pottinger,M,,MR,Raw,89.9,100,165,-185,187.5,187.5,125,137.5,145,145,,-232.5,-232.5,,,SBD,DQ
Scott Halliday,M,,OE,Single-ply,99.5,100,30,,,30,30,190,,190,65,,,65,285,SBD,1
David Gibson,M,,OR,Raw,97.9,100,,,,,142.5,150,-157.5,150,,,,,150,B,5
Gary Topley,M,,OR,Raw,96.1,100,,,,,170,177.5,-185,177.5,,,,,177.5,B,4
Andrew Whittaker,M,,OR,Raw,96.3,100,,,,,172.5,180,185,185,,,,,185,B,3
Mark Ellaway,M,,OR,Raw,98.9,100,,,,,207.5,215,-220,215,,,,,215,B,2
Mark Ellaway,M,,OR,Raw,98.9,100,,,,,207.5,215,-220,215,,,,,215,B,1
James Bees,M,,OR,Raw,94.6,100,180,-200,205,205,130,-140,-140,130,220,245,-255,245,580,SBD,7
David Sloane,M,,OR,Raw,94.7,100,180,200,205,205,130,-140,-140,130,240,250,-265,250,585,SBD,6
Andrew Pearson,M,,OR,Raw,97.8,100,195,200,207.5,207.5,147.5,150,-152.5,150,230,-240,-240,230,587.5,SBD,5
Rob Maguire,M,,OR,Raw,98.4,100,-200,200,-227.5,200,160,170,-180,170,220,235,252.5,252.5,622.5,SBD,4
Jason Blaha,M,,OR,Raw,99.1,100,-220,220,-230,220,140,150,-155,150,240,250,255,255,625,SBD,3
Lee Titmus,M,,OR,Raw,94.1,100,225,240,-250,240,130,142.5,-150,142.5,240,260,-265,260,642.5,SBD,2
Steve Day,M,,OR,Raw,99.2,100,-210,220,230,230,165,-175,175,175,260,280,-295,280,685,SBD,1
Kamil Grim,M,,MR,Raw,107,110,,,,,180,190,,190,,,,,190,B,1
Darren Hammond,M,,MR,Raw,108.4,110,-240,240,255,255,140,-150,-150,140,290,305,-320,305,700,SBD,1
Morten Anderson,M,,OE,Single-ply,103.2,110,,,,,180,-230,-240,180,,,,,180,B,1
Morten Anderson,M,,OE,Single-ply,103.2,110,-345,-345,-345,,180,-230,-240,180,,,,,,SBD,DQ
Kjell Nyhagebraten,M,,OE,Single-ply,107.4,110,-345,-345,-345,,,,,,,,,,,SBD,DQ
Marcin Wronowski,M,,OR,Raw,109.6,110,210,-220,220,220,140,147.5,-152.5,147.5,250,257.5,-262.5,257.5,625,SBD,2
Rhys Browning,M,,OR,Raw,109.5,110,260,280,,280,150,170,-182.5,170,300,320,-335,320,770,SBD,1
Vlastimil Pol,M,,OE,Single-ply,114.3,125,,,,,190,-200,-215,190,,,,,190,B,1
Ruslan Ovechecko,M,,OR,Raw,113.7,125,270,285,-300,285,180,190,-200,190,290,305,320,320,795,SBD,1
Adam McCombe,M,,OR,Raw,114,125,-45,-45,-45,,,,,,,,,,,SBD,DQ
