Run,,262.5,ROW,14,A,10,Marcin Wronowski,,,,,,,,,,,,,,
#,Wt,,COL,16,B,1,,,,,,,,,,,,,,,
2,50,1,,,C,2,,,,,,,,,,,,,,,
8,25,2,DL-3,18,D,3,,,,,,,,,,,,,,,
2,20,0,flt end,25,E,4,Division,,,,O FP R,,,,110,,,Cls (kg),,,
2,15,1,display,,F,5,,,,,,,,,,,,,,,
4,10,0,row,14,G,6,,,,,,,,,,,,,,,
2,5,0,col,18,H,7,,,,,,,,,,,,,,,
2,2.5,1,,,I,8,262.5,,,kg,578.7, new total =,,,,630,,,kg,,
2,1.25,1,,,J,9,,,,,,,,,,,,,,,
25,Bar,262.5,,,,,,,,,lb,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B,Lot#,Name,Division,BWT,Cls (kg),Sq Rack,SQ-1,SQ-2,SQ-3,BP Rack,BP-1,BP-2,BP-3,SUB,DL-1,DL-2,DL-3,Total,,,
B,7,Marcin Wronowski,O FP R,109.6,110,13 in,210,-220,220,5,140,147.5,-152.5,367.5,250,257.5,-262.5,625,,,
B,11,Miles Hutchinson,J BP R,98.3,100,,,,,5,150,160,-165,0,-280,280,-300,0,,,
B,8,Ruslan Ovechecko wpc,O FP R,113.7,125,12 in,270,285,-300,4,180,190,-200,475,290,305,320,795,,,
B,9,Darren Hammond,OM1 FPr,108.4,110,13 out,-240,240,255,6,140,-150,-150,395,290,305,-320,700,,,
B,1,Steve Middleton,M1 FP R,99.5,100,10 in,230,250,-267.5,4,160,177.5,-180,427.5,270,-301,0,697.5,,,
B,2,Randall Crooks,M1 BP R,92.5,100,,,,,4,160,170,-180,0,,,,,,,
B,4,Scott Halliday,O FP Eq,99.5,100,,30,,,4,30,190,,220,65,0,0,285,,,
B,5,Morten Anderson WPC,O FP BP Eq,103.2,100,10 out,-345,-345,-345,4,180,-230,-240,0,,,,0,,,
B,6,Rhys Browning,O FP R,109.5,110,11 in ,260,280,,5,150,170,-182.5,450,300,320,-335,770,,,
B,10,Kjell Nyhagebraten wpc,O FP Eq,107.4,110,10 out,-345,-345,-345,,,,,,,,,,,,
B,12,Kamil Grim,M2 BP R,107,110,,,,,5,180,190,,0,,,,,,,
A,12,Dave Pottinger   K/W,M1 FP R,89.9,100,12 in,165,-185,187.5,4,125,137.5,145,332.5,,-232.5,-232.5,547.5,,,
B,13,Vlastimil Pol  WPC,O BP Eq,114.3,125,,,,,5,190,-200,-215,0,,,,,,,
A,4,Rob Maguire,O BP R,98.4,100,11 out r,-200,200,-227.5,4,160,170,-180,370,220,235,252.5,622.5,,,
