Run,,0,ROW,14,A,9,Randall Crooks,,,,,,,,,,,,,,
#,Wt,,COL,16,B,10,,,,,,,,,,,,,,,
2,50,-1,,,C,1,,,,,,,,,,,,,,,
8,25,1,DL-3,18,D,2,,,,,,,,,,,,,,,
2,20,0,flt end,22,E,3,Division,,,,M1 R,,,,100,,,Cls (kg),,,
2,15,0,display,,F,4,,,,,,,,,,,,,,,
4,10,1,row,18,G,5,,,,,,,,,,,,,,,
2,5,0,col,18,H,6,,,,,,,,,,,,,,,
2,2.5,1,,,I,7,0,,,kg,0.0, new total =,,,,0,,,kg,,
2,1.25,0,,,J,8,,,,,,,,,,,,,,,
25,Bar,0,,,,,,,,,lb,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
C,Lot#,Name,Division,BWT,Cls (kg),Sq Rack,SQ-1,SQ-2,SQ-3,BP Rack,BP-1,BP-2,BP-3,SUB,DL-1,DL-2,DL-3,Total,,,
A,3,Dan Murphy   K/W,J FP R,100,100,11 out,210,220,-230,4,155,-162.5,-162.5,375,215,225,235,610,,,
C,7,Adam McCombe,O R,,125,,,,,,,,,,120,125,130,0,,,
C,8,David Sloane,,,100,,,,,,,,,,220,240,260,0,,,
C,2,Anthony Giddings,,,,,,,,,,,,,260,-312.5,-312.5,0,,,
C,1,Randall Crooks,M1 R,,100,,,,,,,,,,-280,,,0,,,
C,3,Miles Hutchinson,J R,,110,,,,,,,,,,0,,,,,,
C,4,George Briley,T3 R,,125,,,,,,,,,,215,0,0,0,,,
C,5,Winston Rosdalh  WPC,J R,,140,,,,,,,,,,,,,,,,
C,6,Darren McCormac  ,O R,,140,,,,,,,,,,300,0,,0,,,
C,7,Kjell Nyhagi Braton,,,,,,,,,,,,,0,,,0,,,
A,12,Simon Norcup,M2 FP R,107.6,110,10 out,70,0,0,5,170,190,-210,260,70,0,0,330,,,
A,10,Mark Taylor  K/W,M3 FP R,10.5,110,12 in,170,172.5,-205,5,140,150,160,332.5,210,230,250,582.5,,,
A,9,James Warren K/W,O FP R,106.4,110,11 out,210,225,240,5,145,-152.5,-152.5,385,230,240,-250,625,,,
A,2,Grant McEvansoneya,J Fp Bp r,97.9,100,12 in,-200,220,240,4,-195,195,-211,435,250,275,-282.5,710,,,
A,8,Mitch Tutt   K/W,O FP R ,104.35,110,11 in,220,245,255,4,150,-162.5,162.5,417.5,250,267.5,-272.5,685,,,
A,4,Kurt McEvansoneya,J Fp R,110,110,13 in,200,230,-240,4,140,160,-170,390,260,0,0,650,,,
A,5,Camron Couldwell,J FP R,99.8,110,12 out,200,210,-225,5,150,-155,-155,360,260,285,300,660,,,
A,11,Kristap Tomcik,J FP R ,108.5,110,11 out,275,287.5,-296,4,185,-195,-195,472.5,260,280,-290,752.5,,,
A,1,Dan Stewart,J FP R,97.6,100,9 in,-240,260,270,4,140,155,170,440,270,290,300,740,,,
A,13,Anthony Giddings,M1 FP Eq,108,110,10 h,340,-363.5,-363.5,5,215,-230,-230,555,-280,300,-312.5,855,,,
