28/06/2018,WPC DEADLIFT RAW-Kg Results,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Coeff Score,Age  & Coeff,Pl-Div-WtCl
MARTIN Gabrielle FRA,22,F_J_R_WPC,76.4,82.5,145,155,160,,132.152,0,"1-F_J_R_WPC-82,5"
PACE Letizia ITA,18,F_T3_R_WPC,94,SHW,150,165,-180,,121.05225,0,1-F_T3_R_WPC-SHW
CASAGRANDA Federica ITA,17,F_T2_R_WPC,60.4,67.5,100,112.5,-115,,110.52,0,"1-F_T2_R_WPC-67,5"
COLLIAT Delphine FRA,24,F_O_R_WPC,46.5,48,140,150.5,-155,,181.75885,0,1-F_O_R_WPC-48
IARMOLIUK Olga UKR,29,F_O_R_WPC,50.4,52,145,155,-167.5,,175.956,0,1-F_O_R_WPC-52
HIPOLA CARRASCO Natalia ESP,36,F_O_R_WPC,59.4,60,-150,-150,-150,,0,0,0
NEVES Etlevina POR,32,F_O_R_WPC,67.5,67.5,185,195,-202.5,,175.49025,0,"1-F_O_R_WPC-67,5"
SOCHANSKI Stephan ITA,69,M_M6_R_WPC,69,75,190,210,,,154.3185,248.452785,1-M_M6_R_WPC-75
LAISIN Boris EST,67,M_M6_R_WPC,69.6,75,145,155,160,,116.744,180.135992,2-M_M6_R_WPC-75
AREVALILLO GONZALEZ Jose ESP,60,M_M5_R_WPC,102.8,110,285,300,-305,,172.5,231.15,1-M_M5_R_WPC-110
ASTAPTSEV Vladlen FIN,53,M_M3_R_WPC,71.5,75,160,170,,,121.3885,143.723984,1-M_M3_R_WPC-75
BRODIE Shane IRL,44,M_M1_R_WPC,96.4,100,230,245,-260,,144.746,150.970078,1-M_M1_R_WPC-100
CHEVRON David FRA,40,M_M1_R_WPC,122.7,125,310,-330,-330,,169.911,169.911,1-M_M1_R_WPC-125
MANDRILLON Nicolas FRA,22,M_J_R_WPC,66.7,67.5,180,200,-210,,151.22,0,"1-M_J_R_WPC-67,5"
HENNESSY Mark IRL,23,M_J_R_WPC,89.7,90,235,242.5,250,,153.25,0,1-M_J_R_WPC-90
SHATOKHIN Yurii RUS,20,M_J_R_WPC,134.9,140,140,155,-165,,83.10325,0,1-M_J_R_WPC-140
PLATEL Théo FRA,17,M_T2_R_WPC,67.4,67.5,150,170,-182.5,,127.3895,0,"1-M_T2_R_WPC-67,5"
ROSA-BRUSIN Gianluca ITA,17,M_T2_R_WPC,74.7,75,210,217.5,219,-225,151.2414,0,1-M_T2_R_WPC-75
VILJAKAINEN Nico FIN,15,M_T1_R_WPC,95.4,100,150,165,-177.5,,89.0625,0,1-M_T1_R_WPC-100
FRASER Simeon FRA,29,M_O_R_WPC,74.7,75,220,240,-260,,165.744,0,1-M_O_R_WPC-75
GODARD Geoffrey FRA,28,M_O_R_WPC,69,75,170,180,-190,,132.273,0,2-M_O_R_WPC-75
MANNION Tom IRL,37,M_O_R_WPC,81.4,82.5,265,-281,281,,182.72025,0,"1-M_O_R_WPC-82,5"
KLUSKA Vincent FRA,30,M_O_R_WPC,81.4,82.5,235,250,255,,165.81375,0,"2-M_O_R_WPC-82,5"
HO BING HUANG Grégoire FRA,35,M_O_R_WPC,97.9,100,275,322.5,-332.5,,189.646125,0,1-M_O_R_WPC-100
LAMA Gérard FRA,36,M_O_R_WPC,108.7,110,300,0,350,,197.54,0,1-M_O_R_WPC-110
LEON Jean Luc FRA,29,M_O_R_WPC,112.7,125,300,-330,-330,,167.67,0,1-M_O_R_WPC-125
MUSKOV Hristo BUL,32,M_O_R_WPC,118,125,300,,,,0,0,0
MESSAI Karim FRA,24,M_O_R_WPC,132.4,140,-300,300,-330,,161.385,0,1-M_O_R_WPC-140
