23/06/2018,AWPC POWER CLASSIC-Kg Results,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg), Squat  1, Squat  2, Squat  3, Squat  4,,Bench 1,Bench 2,Bench 3,,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,,PL Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl
CUNLIFFE Amanda GB,50,F_M3_CR_AWPC,59.7,60,95,102.5,-105,,,50,52.5,53,,115,120,-125,,,275.5,273.1858,308.699954,1-F_M3_CR_AWPC-60
PROCTOR Maureen GB,51,F_M3_CR_AWPC,88.9,90,105,115,-125,,,65,70,72.5,,130,135,140,142.5,,327.5,246.4765,282.7085455,1-F_M3_CR_AWPC-90
CREDLAND Judith GB,22,F_J_CR_AWPC,55.1,56,40,50,-60,,,25,30,-32.5,,90,102.5,102.5,-110,,187.5,198.28125,0,1-F_J_CR_AWPC-56
SEAMAN Erin GB,22,F_J_CR_AWPC,69.8,75,100,-105,-105,,,50,-55,-55,,120,-140,-140,,,270,237.114,0,1-F_J_CR_AWPC-75
RAYMENT Georgina GB,23,F_J_CR_AWPC,73.9,75,80,-90,90,,,60,-70,-70,,100,107.5,-112.5,,,257.5,217.445875,0,2-F_J_CR_AWPC-75
GIBAS Iwona GB,19,F_T3_CR_AWPC,57.7,60,-100,105,-107.5,,,50,52.5,55,,97.5,-102.5,-102.5,,,257.5,262.41825,0,1-F_T3_CR_AWPC-60
FAURE Géraldine FRA,28,F_O_CR_AWPC,47.1,48,-90,90,-100,,,50,-53,53,,100,110,-117.5,,,253,302.6133,0,1-F_O_CR_AWPC-48
PATEL Munira GB,31,F_O_CR_AWPC,59.2,60,80,90,-95,,,45,47.5,50,,115,-120,-120,,,255,254.57925,0,1-F_O_CR_AWPC-60
NAGYNE TOTH Zsuzsanna GB,30,F_O_CR_AWPC,67.1,67.5,170,-177.5,-177.5,,,67.5,72.5,75,,155,165,172.5,,,417.5,377.357375,0,"1-F_O_CR_AWPC-67,5"
HILLARY Amanda GB,31,F_O_CR_AWPC,67,67.5,145,155,-160,,,60,62.5,-65,,130,140,145,,,362.5,328.02625,0,"2-F_O_CR_AWPC-67,5"
PHILLIPS Donna GB,29,F_O_CR_AWPC,65.7,67.5,122.5,130,132.5,,,67.5,72.5,75,,145,152.5,-157.5,,,360,330.786,0,"3-F_O_CR_AWPC-67,5"
BRADLEY Sara GB,31,F_O_CR_AWPC,65.4,67.5,100,112.5,117.5,,,55,60,-65,,120,132.5,140,,,317.5,292.7985,0,"4-F_O_CR_AWPC-67,5"
DARCY Alice IRL,24,F_O_CR_AWPC,66.4,67.5,110,120,-130,,,55,57.5,-60,,125,135,-140,,,312.5,284.78125,0,"5-F_O_CR_AWPC-67,5"
LAWRENCE Amy GB,24,F_O_CR_AWPC,63.4,67.5,105,112.5,117.5,,,55,-60,-60,,130,-135,-135,,,302.5,285.877625,0,"6-F_O_CR_AWPC-67,5"
CONSIDINE Grainne IRL,24,F_O_CR_AWPC,72.5,75,130,140,147.5,,,67.5,72.5,77.5,,155,170,175,,,400,342.2,0,1-F_O_CR_AWPC-75
PORTUES Scarlett GB,26,F_O_CR_AWPC,74.6,75,145,-155,155,,,75,80,82.5,,130,142.5,147.5,,,385,323.0535,0,2-F_O_CR_AWPC-75
NORTHCOTT Fay GB,26,F_O_CR_AWPC,74.3,75,-135,135,142.5,,,60,65,67.5,,155,162.5,-167.5,,,372.5,313.4215,0,3-F_O_CR_AWPC-75
TERRY Lizzy GB,26,F_O_CR_AWPC,89.5,90,140,150,160,,,55,60,-65,,160,170,-175.5,,,390,292.383,0,1-F_O_CR_AWPC-90
DICKINSON Viv GB,36,F_O_CR_AWPC,85.6,90,112.5,-122.5,-125,,,62.5,-65,-65,,115,117.5,122.5,,,297.5,228.851875,0,2-F_O_CR_AWPC-90
PUGH Steevi GB,28,F_O_CR_AWPC,100.3,SHW,180,187.5,-195.5,,,72.5,75,-80,,150,157.5,-162.5,,,420,300.216,0,1-F_O_CR_AWPC-SHW
ASHTON Paul GB,56,M_M4_CR_AWPC,80.5,82.5,155,-165,-165,,,85,95,100,,155,165,170,175,,425,278.39625,346.8817275,"1-M_M4_CR_AWPC-82,5"
CREGAN Sean IRL,53,M_M3_CR_AWPC,79.7,82.5,190,200,210,,,100,107.5,-110,,205,215,225,,,542.5,357.77875,423.61004,"1-M_M3_CR_AWPC-82,5"
WORTHINGTON Robert GB,52,M_M3_CR_AWPC,88.4,90,165,-175,180,-186,,125,130,132.5,,170,177.5,182.5,,,495,305.9595,356.4428175,1-M_M3_CR_AWPC-90
O HALLORAN Anthony IRL,53,M_M3_CR_AWPC,97.7,100,205,212.5,220,,,132.5,-140,-140,,230,237.5,-242.5,,,590,346.4185,410.159504,1-M_M3_CR_AWPC-100
ALGAR Ben GB,41,M_M1_CR_AWPC,118.6,125,230,240,250.5,,,115,117.5,-120,,230,242.5,250,255,,618,341.3832,344.797032,1-M_M1_CR_AWPC-125
JENNINGS Chris GB,23,M_J_CR_AWPC,66.7,67.5,155,165,175,,,110,120,-130,,190,205,215,,,510,385.611,0,"1-M_J_CR_AWPC-67,5"
LEGG Ben GB,23,M_J_CR_AWPC,81.9,82.5,200,215,222.5,,,160,167.5,-172.5,,227.5,240,250,,,640,416.256,0,"1-M_J_CR_AWPC-82,5"
MARTIN James GB,22,M_J_CR_AWPC,86.7,90,175,195,200,,,117.5,125,-127.5,,200,-225,225,,,550,343.805,0,1-M_J_CR_AWPC-90
O CONNOR Ciaran IRL,21,M_J_CR_AWPC,99.9,100,215,225,235,,,130,-137.5,-137.5,,265,275,285,,,650,378.82,0,1-M_J_CR_AWPC-100
BLEKAITIS Daugintas IRL,20,M_J_CR_AWPC,98.2,100,180,192.5,200,,,92.5,97.5,-105,,175,182.5,-187.5,,,480,281.208,0,2-M_J_CR_AWPC-100
FLAWITH Ben GB,21,M_J_CR_AWPC,119.7,125,200,225,255,,,175,-185,-185,,240,265,280.5,,,710.5,391.69865,0,1-M_J_CR_AWPC-125
LITTLE Alister GB,32,M_O_CR_AWPC,66,67.5,150,160,170,,,105,110,115,,190,200,-205,,,485,370.055,0,"1-M_O_CR_AWPC-67,5"
NZINGA Luther GB,27,M_O_CR_AWPC,88.6,90,215,222.5,227.5,,,135,142.5,-145,,-250,260,-267.5,,,630,388.899,0,1-M_O_CR_AWPC-90
EDWARDS James GB,33,M_O_CR_AWPC,99.1,100,230,250,-255,,,122.5,132.5,,,220,-240,-240,,,602.5,351.588875,0,1-M_O_CR_AWPC-100
BRYAN Anthony GB,33,M_O_CR_AWPC,97.5,100,190,205,210,,,132.5,-140,-140,,215,225,-230,,,567.5,333.548125,0,2-M_O_CR_AWPC-100
BUCKLEY Gerard IRL,26,M_O_CR_AWPC,109.3,110,260,275,-285.5,,,147.5,157.5,160,,250,265,275,,,710,400.085,0,1-M_O_CR_AWPC-110
