27/06/2018,WPC POWER EQUIPPED-Kg Results,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg), Squat  1, Squat  2, Squat  3,,Bench 1,Bench 2,Bench 3,,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,PL Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl
TAYLOR Stephanie GB,31,F_O_EM_WPC,63.5,67.5,-225,-225,-225,,0,,,,0,,,,0,0,0,0
SOCHANSKI Stephan ITA,69,M_M6_ES_WPC,90.1,100,195,210,225,,100,106,111,,200,220,240,,576,352.224,567.08064,1-M_M6_ES_WPC-100
PIVOVAROV Oleg RUS,55,M_M4_ES_WPC,110.7,125,230,240,250,,210,220,230,,240,250,260,,740,415.547,509.045075,1-M_M4_ES_WPC-125
ROCHA Umberto POR,46,M_M2_ES_WPC,86.9,90,-190,190,210,,140,-170.5,-170.5,,180,200,-220,,550,344.575,368.0061,1-M_M2_ES_WPC-90
ATHIAS Eric FRA,47,M_M2_EM_WPC,81.6,82.5,270,-300,300,,-185,-185,-200,,,,,,0,0,0,0
BRODIE Shane IRL,44,M_M1_ES_WPC,96.2,100,290,325,340,,177.5,185,-191,,240,260,275,280,800,473.12,493.46416,1-M_M1_ES_WPC-100
KARAOSMAN Ben,22,M_J_ES_WPC,121.2,125,-290,305.5,320,,-180,180,-195,,210,242.5,-252.5,,742.5,408.15225,0,1-M_J_ES_WPC-125
PONTES Pedro POR,36,M_O_ES_WPC,67.1,67.5,240,-250,250,,155,-160,160,,220,-230,-230,,630,473.886,0,"1-M_O_ES_WPC-67,5"
MARTINS Pedro POR,38,M_O_ES_WPC,107.5,110,-290,290,-322.5,,170,200,-230.5,,120,0,,,610,345.443,0,1-M_O_ES_WPC-110
MaCNEIL Stephen GB,33,M_O_ES_WPC,138.4,140,345,365,372.5,,-337.5,347.5,,,300,310,-317.5,,1030,548.4235,0,1-M_O_ES_WPC-140
VILAS BOAS Paulo POR,32,M_O_EM_WPC,79.8,82.5,-300,300,-320,,175,185,190,,260,280,-290,,770,507.3915,0,"1-M_O_EM_WPC-82,5"
MAMMADOV Eldar AZE,39,M_O_EM_WPC,100,100,320,340,-350,,140,-250,-250,,250,280,300,,780,453.414,0,1-M_O_EM_WPC-100
SANTIAGO Fernandez ESP,36,M_O_EM_WPC,108.1,110,300,-340,-340,,200,220,230,,300,310,-315,,840,474.852,0,1-M_O_EM_WPC-110
MATIKAINEN Mikko FIN,30,M_O_EM_WPC,107.3,110,305,-335,-365,,215,235,-250,,260,280,-300,,820,464.653,0,2-M_O_EM_WPC-110
VILAS BOAS Pedro POR,26,M_O_EM_WPC,105.9,110,-300,300,-320,,200,-212.5,-212.5,,250,-275,-275,,750,427.3875,0,3-M_O_EM_WPC-110
