Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Yana Petrenko,Яна Петренко,1981,32.45,47.5,,30,67.5,,145,F,SBD,Single-ply,Sub-Juniors,44
2,Vera Minenkova,Вера Миненкова,1975,41.3,45,,25,60,,130,F,SBD,Single-ply,Sub-Juniors,44
3,Larisa Semenova,Лариса Семенова,1975,42.8,45,,30,55,,130,F,SBD,Single-ply,Sub-Juniors,44
1,Tanya Vasina,Таня Васина,1975,46,60,,27.5,70,,157.5,F,SBD,Single-ply,Sub-Juniors,48
2,Natasha Dzyuba,Наташа Дзюба,1976,48,42.5,,25,50,,117.5,F,SBD,Single-ply,Sub-Juniors,48
3,Galya Vetrova,Галя Ветрова,1975,47.5,40,,25,45,,110,F,SBD,Single-ply,Sub-Juniors,48
1,Natasha Ship,Наташа Шип,1976,51.4,100,,45,90,,235,F,SBD,Single-ply,Sub-Juniors,52
2,Elena Bespartochnaya,Елена Беспарточная,1974,50,67.5,,57.5,100,,225,F,SBD,Single-ply,Sub-Juniors,52
3,Mila Zbandut,Мила Збандут,1976,52,50,,40,70,,160,F,SBD,Single-ply,Sub-Juniors,52
1,Anya Ermolenko,Аня Ермоленко,1974,54.75,90,95,37.5,110,,237.5,F,SBD,Single-ply,Sub-Juniors,56
2,Anya Brykina,Аня Брыкина,1975,54.4,62.5,,35,90,,187.5,F,SBD,Single-ply,Sub-Juniors,56
3,Inna Govorova,Инна Говорова,1977,55.5,60,,40,80,,180,F,SBD,Single-ply,Sub-Juniors,56
1,Olya Veyman,Оля Вейман,1976,56.65,75,,27.5,87.5,,190,F,SBD,Single-ply,Sub-Juniors,60
2,Ira Shabanova,Ира Шабанова,1975,58.3,72.5,,25,85,,182.5,F,SBD,Single-ply,Sub-Juniors,60
3,Tanya Sidorma,Таня Сидорма,1974,59.4,72.5,,30,80,,182.5,F,SBD,Single-ply,Sub-Juniors,60
1,Tanya Borodkova,Таня Бородкова,1975,67.5,95,,45,115,120,255,F,SBD,Single-ply,Sub-Juniors,67.5
2,Inna Fedotova,Инна Федотова,1975,64.6,70,,40,82.5,,192.5,F,SBD,Single-ply,Sub-Juniors,67.5
3,Sveta Danilenko,Света Даниленко,1975,63.4,65,,40,80,,185,F,SBD,Single-ply,Sub-Juniors,67.5
1,Anya Ganenko,Аня Ганенко,1975,75,140,,80,152.5,,372.5,F,SBD,Single-ply,Sub-Juniors,75
2,Svetlana Yushchenko,Светлана Ющенко,1974,74.5,100,,60,120,,280,F,SBD,Single-ply,Sub-Juniors,75
3,Lyuda Kostenko,Люда Костенко,1975,74.7,80,,50,100,,230,F,SBD,Single-ply,Sub-Juniors,75
1,Gennadiy Minchev,Геннадий Минчев,1978,44,85,,57.5,107.5,,250,M,SBD,Single-ply,Sub-Juniors,44
2,Pavel Gulenin,Павел Гуленин,1977,43.15,85,,50,102.5,,237.5,M,SBD,Single-ply,Sub-Juniors,44
3,Roman Saliy,Роман Салий,1980,42.3,82.5,,42.5,90,,215,M,SBD,Single-ply,Sub-Juniors,44
1,Sergey Gladkov,Сергей Гладков,1978,48,105,,67.5,120,,292.5,M,SBD,Single-ply,Sub-Juniors,48
2,Ivan Yalu,Иван Ялу,1976,47.35,100,,65,110,,275,M,SBD,Single-ply,Sub-Juniors,48
3,Yuriy Zhidik,Юрий Жидик,1974,46.75,95,,75,100,,270,M,SBD,Single-ply,Sub-Juniors,48
4,Andrey Vlasenko,Андрей Власенко,1977,47.7,100.5,105,55,112.5,,267.5,M,SBD,Single-ply,Sub-Juniors,48
1,Nikolay Shkurinskiy,Николай Шкуринский,1976,52,140,142.5,90,175,,405,M,SBD,Single-ply,Sub-Juniors,52
